date,rGDP,rPCE,pPCE,pCD,pCND,pCS,nCD,nCND,nCS,rGPDI,rEX,rIM,rG,pGC,nGC,pGI,nGI,nFETX,nSTX,nKCD,nDCD,hours,pop,rGC
1/1/59,3121.9,1923.7,16.086,56.963,17.792,11.374,43.6,126.1,139.7,340.6,93.5,129.1,1067.3,9.479,81,17.284,36.2,10.9,27.9,176.561,34.038,34207479436,102419956.8,117.2
4/1/59,3192.4,1953.4,16.152,57.179,17.796,11.46,45.5,127.2,142.9,367.1,92.8,135.3,1080.5,9.478,82.4,17.228,36.2,11,28.2,178.396,34.826,34586991020,102747565.3,118.5
7/1/59,3194.7,1973.8,16.249,57.169,17.873,11.57,46.3,128.2,146.2,343.4,101.7,136.6,1089.8,9.475,83.4,17.216,36.1,11.4,29.3,179.627,35.204,34426947882,103046173.8,119.5
10/1/59,3203.8,1976,16.338,57.145,17.939,11.672,44.1,129.5,149.3,354.6,96.7,133.1,1080.8,9.493,83.7,17.191,34.9,11.4,30,180.221,35.464,34349066949,103293115.7,118.6
1/1/60,3275.8,1994.9,16.36,57.062,17.914,11.724,45.5,129.6,151.3,390.2,109.1,138.2,1062.4,9.544,81.9,17.152,35.1,12.1,30.4,181.679,36.834,34328759581,103973012.7,117
4/1/60,3258.1,2020.1,16.445,56.994,18.043,11.789,46.4,132,153.8,353.8,112.3,139.2,1074.3,9.558,83.2,17.154,35.2,12,31.2,183.333,37.167,34772679970,104250576.3,118.4
7/1/60,3274,2012,16.507,56.819,18.097,11.865,45.9,131.6,154.6,352.9,114.7,135.1,1100.6,9.673,85.6,17.215,36.8,12,31.8,184.433,37.539,35065987860,104535806.7,122.4
10/1/60,3232,2014.6,16.58,56.718,18.199,11.926,44.7,132.4,156.9,313.8,115.3,128.7,1108.2,9.793,87.5,17.213,36.9,11.9,32.4,185.421,37.801,34720356135,104842370.3,124.3
1/1/61,3253.8,2013.9,16.611,56.725,18.226,11.957,42.2,133.4,158.9,322,114.5,128.1,1124.7,9.797,86.6,17.214,39.6,11.9,32.9,185.416,37.902,34940538782,105213255.8,126.2
4/1/61,3309.1,2043.8,16.609,56.992,18.099,12.008,43.3,134.2,161.9,344.5,109.2,129.7,1127.5,9.866,88.7,17.261,38.5,12.1,33.4,186.497,37.945,34513811879,105524807.8,127.3
7/1/61,3372.6,2053.8,16.668,57.252,18.133,12.065,44.6,134.6,163.2,371.3,114.1,138.3,1151.6,9.861,90.1,17.275,39.9,12.1,34.1,187.779,38.206,34559973363,105808359.9,130
10/1/61,3438.7,2095.1,16.686,57.182,18.099,12.115,46.7,136.2,166.7,377.5,116,141.6,1176.8,9.908,91.9,17.386,41.6,12.5,34.8,188.388,38.507,35229794384,105910912,133.5
1/1/62,3500.1,2117.3,16.758,57.193,18.169,12.186,47.7,137.8,169.3,397.8,115.3,145.9,1199.6,10.014,95.2,17.389,42,12.7,35.5,189.692,38.596,35172911977,106059606.5,137.1
4/1/62,3531.7,2143.3,16.818,57.269,18.217,12.246,49,138.7,172.7,394.7,121.9,149,1205.6,10.062,96.6,17.457,41.9,12.7,36,191.45,38.909,35485144183,105744967.7,138.4
7/1/62,3575.1,2160.6,16.863,57.458,18.234,12.293,49.6,140,174.8,401.4,121.7,150.9,1233.4,10.082,98.9,17.554,43.1,13.2,36.5,193.61,39.312,35445601579,106257328.8,142.1
10/1/62,3586.8,2191.2,16.914,57.231,18.329,12.334,51.5,141.5,177.6,389.7,117.8,152.8,1242,10.108,100.1,17.666,43.5,13.1,37.1,194.719,39.795,35406584960,106881690,143.6
1/1/63,3626,2206.5,16.963,57.248,18.356,12.393,52.6,142.5,179.2,410.2,119.6,149.2,1225.1,10.337,100.5,17.615,43.3,13.2,37.6,196.663,40.24,35534152165,107421910.8,143.7
4/1/63,3666.7,2227.3,16.99,57.421,18.338,12.432,53.9,142.8,181.7,416.7,129.1,152.8,1226,10.349,100.6,17.69,43.6,13.4,38.3,199.334,40.681,35626548088,107915131.7,144.1
7/1/63,3747.3,2257.5,17.071,57.582,18.472,12.475,54.7,145.2,185.5,429.5,128.5,156.6,1280.4,10.292,104.1,17.681,45.8,13.5,39.1,202.006,41.268,35749108606,108421019.2,149.9
10/1/63,3771.8,2276.3,17.135,57.764,18.51,12.54,55.7,145.3,189,434.7,133.5,156.1,1267.2,10.531,105.9,17.764,45.1,13.7,39.8,204.841,41.855,36106561623,108893240,151
1/1/64,3851.4,2321,17.216,57.849,18.621,12.599,58,148.7,192.9,451,140.3,156,1271.1,10.633,106.8,17.791,45.8,13.7,40.7,207.779,42.45,36093606065,109355631.9,152.6
4/1/64,3893.3,2362.1,17.253,57.817,18.617,12.66,59.5,151.5,196.6,449.4,139.7,159.5,1282.5,10.655,107.8,17.853,46.5,14.1,41.4,210.473,43.106,36657768423,109791357.2,154.3
7/1/64,3954.1,2405.7,17.31,57.757,18.673,12.72,61.4,154.9,200.2,459.9,144.1,163.8,1284.1,10.803,109.5,17.869,46.6,14.1,42.4,213.35,43.714,36607972647,110247082.4,156
10/1/64,3966.3,2412.6,17.367,57.645,18.748,12.775,59.4,155.8,203.8,464.2,147,168.2,1283.5,10.814,109.4,17.902,46.7,14.5,42.9,215.4,44.358,36569294986,110709141,156.2
1/1/65,4062.3,2466.4,17.423,57.659,18.804,12.83,64.9,157.8,207,508.5,129.9,162.1,1282,10.912,110.8,17.931,46.2,14.9,43.8,219.247,44.665,37261881873,111180889.1,157
4/1/65,4113.6,2493.6,17.511,57.48,18.981,12.885,64.8,160.8,211.1,509.8,151.6,181.3,1297.2,10.972,112.9,18.056,46.9,14,44.7,222.137,45.525,37309251246,111646637.2,159.8
7/1/65,4205.1,2536.4,17.576,57.194,19.085,12.95,66.7,164.1,215,527.6,148.2,182,1340.2,11.117,117.9,18.098,48.9,13,45.8,224.873,46.193,37705811751,111997385.3,166.8
10/1/65,4302,2607.7,17.63,56.876,19.129,13.032,69.1,170.5,220.1,531.1,157.3,190.9,1365.6,11.34,123.1,18.203,49.5,13.2,46.8,227.877,46.83,38003852612,112339466.7,172.6
1/1/66,4406.7,2646.2,17.766,56.797,19.386,13.114,72.3,174.1,223.7,573.5,153.4,195.8,1391.1,11.437,125.1,18.248,51.9,12,47.5,232.807,47.37,38344578991,112745485.6,177
4/1/66,4421.7,2653,17.911,57.037,19.551,13.233,69.7,177.2,228.2,565,158,200.7,1417.4,11.484,129.7,18.51,51.9,12.7,48.2,238.181,48.413,38504589395,113169504.5,181.7
7/1/66,4459.2,2683.3,18.048,57.288,19.689,13.354,72.3,179.8,232.2,560.8,156.1,211.9,1456,11.714,135.3,18.579,54.2,12.6,49.2,243.936,49.547,38874481112,113595190.1,189.5
10/1/66,4495.8,2694.5,18.187,57.548,19.812,13.485,72.6,180.4,237,564.1,160,214.3,1481.1,11.753,137.4,18.717,56.2,12.9,50.1,249.526,50.758,38667791561,114013875.7,193.6
1/1/67,4535.6,2710,18.24,57.429,19.807,13.577,71.1,182.4,240.8,550.3,162,217.7,1543.7,11.811,144.7,18.74,57.9,13,50.7,252.772,51.393,38742788975,114410889.5,202.6
4/1/67,4538.4,2747.1,18.327,57.68,19.838,13.676,74.5,184,245,530.4,159.8,215.9,1537.3,11.962,147.2,18.808,56.6,13.3,51.7,258.256,52.083,38373672945,114868903.3,203.8
7/1/67,4581.3,2761.1,18.497,58.314,20.046,13.783,74.7,185.8,250.2,545.9,158.6,218.8,1554.4,12.106,150.5,18.973,57.9,13.4,53.5,265.245,53.223,38753987985,115465583.8,208.4
10/1/67,4615.9,2778,18.655,58.9,20.18,13.914,75.6,187.9,254.7,557.7,161.5,230.3,1566.2,12.333,155,19.132,58.3,13.4,55.2,271.925,54.665,39181216748,116002597.7,213.3
1/1/68,4710,2844.6,18.853,59.278,20.388,14.083,80.9,193.5,261.9,568.9,166.1,243.9,1594.2,12.486,161.4,19.354,58.4,14,57.2,278.699,56.364,39010020112,116469678.6,219.7
4/1/68,4788.7,2887.9,19.045,59.638,20.581,14.252,83.1,197.8,269.2,590.6,168.9,247.6,1602.5,12.661,164.1,19.508,59.5,14.5,58.7,285.579,57.753,39341257003,116882759.5,223.6
7/1/68,4825.8,2942,19.242,60.135,20.778,14.416,87.5,202.8,275.7,574.5,180.9,262.5,1607.3,12.878,167.8,19.586,59.5,14.9,60.4,293.832,59.165,39403407557,117339840.4,227.4
10/1/68,4844.8,2955.3,19.456,60.687,20.995,14.591,87.8,205,282.1,580.8,176.9,260.3,1608.7,13.085,171.8,19.932,59.6,15,61.8,302.03,60.854,39518485066,117902254.7,231.3
1/1/69,4920.6,2988.1,19.645,61.046,21.152,14.773,90,208.8,288.2,615,156.3,235.7,1612.4,13.163,172.2,20.196,61.5,15.3,63.3,309.289,62.121,39803562917,118429175.4,233.7
4/1/69,4935.6,3007.4,19.896,61.509,21.447,14.973,90.4,212.2,295.7,611.4,190.5,282.2,1607.3,13.366,177.2,20.603,59.7,15.2,65.1,316.838,63.604,39860891327,118879762.8,236.9
7/1/69,4968.2,3022,20.14,61.807,21.747,15.172,90.6,216,302,623.8,187.4,278.6,1610.6,13.712,182.6,20.811,59.9,15.7,67,323.236,65.145,39991742999,119355683.6,242.5
10/1/69,4943.9,3046.2,20.373,62.194,21.978,15.382,90.8,219.7,310,593.7,192.3,275.5,1588.9,13.9,185.8,21.199,57,15.5,68.8,329.836,66.454,40092311027,119897937.7,242.8
1/1/70,4936.6,3065.1,20.609,62.306,22.261,15.59,89.6,224.5,317.6,576,194.8,274.6,1581.3,14.288,188.9,21.598,59,15.4,70.6,334.334,67.769,40019305568,120415253.6,247.9
4/1/70,4943.6,3079,20.837,62.553,22.48,15.808,91,226.5,324,577.2,202.3,280,1562.9,14.513,190.3,22.045,58.8,15.7,72.4,339.663,68.699,39784123887,120946569.5,249.1
7/1/70,4989.2,3106,21.04,63.013,22.632,16.004,92,229.7,331.8,586.6,203.2,279.4,1569.5,14.771,194.3,22.413,60.2,15.7,74.3,346.138,69.796,39563144447,121502885.4,254.6
10/1/70,4935.7,3097.5,21.313,64.058,22.834,16.24,87.3,234.5,338.4,555.5,203.6,283.7,1570.3,14.983,197.6,22.865,61.1,15.6,76,354.452,71.124,39227965672,122078868,258.7
1/1/71,5069.7,3157,21.514,64.959,22.872,16.459,98.1,235.8,345.3,620.2,205.4,280.4,1547.3,15.446,203.9,23.224,58.1,16.8,78.3,363.713,72.909,39425737269,122672597.3,261.9
4/1/71,5097.2,3186,21.759,65.416,23.111,16.676,101,238.8,353.4,637.8,203.9,301.5,1543.7,15.744,207.8,23.584,58.3,16,80.2,370.738,74.819,39281989042,123280326.5,266.1
7/1/71,5139.1,3211.4,21.972,65.267,23.313,16.91,103.4,240.4,361.7,645.5,214.1,308.2,1542.9,15.985,210.6,23.839,59.2,15.7,82.8,374.553,76.277,39305317549,123869055.8,269.8
10/1/71,5151.2,3264.7,22.108,64.93,23.46,17.068,107.3,243.6,370.8,628.2,194.3,287.3,1532.1,16.239,213.6,24.185,58.5,15,84.7,377.95,77.087,39842519544,124459785,272.1
1/1/72,5246,3307.8,22.34,65.489,23.714,17.255,110.7,247,381.2,669.6,216.4,329.3,1540.5,16.72,222.2,25.136,60,15,86.4,386.967,78.282,40426156742,125679497.3,282.2
4/1/72,5365,3370.7,22.469,65.824,23.768,17.397,114.1,254.3,389,707.6,210.1,317.6,1546.7,16.922,225.5,25.305,60.9,15.5,88.5,395.008,80.162,40569028783,126302876.3,286.5
7/1/72,5415.7,3422.7,22.666,66.157,23.979,17.568,117.6,260.1,398.1,717.6,222.8,324.2,1517.3,17.118,225.1,25.615,59.2,15.6,90.4,403.464,81.845,40819367866,126877588.7,284.3
10/1/72,5506.4,3503,22.852,65.942,24.256,17.732,123.4,268.1,409,722.1,232.2,338.8,1529.8,17.426,229.1,26.039,62.6,15.8,92.5,409.5,83.611,40932828223,127379634.3,291.7
1/1/73,5642.7,3567,23.129,66.212,24.776,17.881,131.8,275.5,417.7,764.5,249.2,354.5,1543,17.762,233.4,26.388,66.2,16.1,95.1,421.431,85.236,41166583146,128022202.8,299.6
4/1/73,5704.1,3565.3,23.575,66.74,25.525,18.159,131.3,281.4,427.8,797,261.2,344.3,1532.1,18.068,237.2,26.89,65.5,16.6,96.3,434.273,87.687,41803407707,128698771.2,302.7
7/1/73,5674.1,3577.9,24.005,67.085,26.176,18.475,130.8,289.9,438.2,768.1,262.1,334.8,1514.1,18.366,239.5,27.386,64.6,16.6,98.7,445.192,90.324,42123811842,129308339.6,304.2
10/1/73,5728,3567.2,24.498,67.325,26.983,18.821,128.2,297.7,448,795.5,275,337.3,1525.5,18.733,246.4,27.939,66.2,16.9,99.6,454.237,92.569,42296075593,129917241.3,312.6
1/1/74,5678.7,3535.3,25.227,68.108,28.377,19.207,126.7,308.9,456.4,750.1,278.5,325.8,1553,19.029,253.6,28.936,71,16.4,101,464.819,95.13,42353922056,130460186.8,324.6
4/1/74,5692.2,3548,25.942,69.846,29.414,19.661,130.6,318,471.8,747.1,292.1,343.1,1560.8,19.466,258.9,30.119,76,16.5,104,482.477,97.096,42267237086,131071465.5,335
7/1/74,5638.4,3563.3,26.64,72.498,30.241,20.116,136.3,327.7,485.3,708.4,276.4,337.1,1563.9,20.025,268.5,31.572,78.2,16.4,106.8,507.1,100.543,42244069572,131668410.9,346.7
10/1/74,5616.5,3511.2,27.315,74.729,31.095,20.557,127.1,330.9,501,712.7,283.6,333.7,1571.4,20.658,279.8,32.509,79.5,16.3,107.5,525.757,105.448,41824168349,132243356.3,359.2
1/1/75,5548.2,3540.6,27.825,75.837,31.533,21.024,131.8,336.2,517.2,597.9,285.6,300.2,1588.5,21.047,287.1,33.186,83,15.7,109,537.395,107.595,41125866811,132825299.3,370.1
4/1/75,5587.8,3598.9,28.164,77.16,31.643,21.372,136.7,344.8,532,580.1,277.3,276.2,1575.1,21.447,294.2,33.581,79.2,16.2,111.7,551,109.843,40995659358,133399909,373.4
7/1/75,5683.4,3650,28.69,77.988,32.346,21.768,146.8,356,544.4,625,272.6,299.2,1604.5,21.778,299.9,33.74,85.5,16.4,114.9,562.642,112.49,40956831356,134092185.3,385.4
